Year,SDG Series,Value
2017,Proportion of transboundary basins (river and lake basins and aquifers) with an operational arrangement for water cooperation [6.5.2],NaN
2020,Proportion of transboundary basins (river and lake basins and aquifers) with an operational arrangement for water cooperation [6.5.2],NaN
2023,Proportion of transboundary basins (river and lake basins and aquifers) with an operational arrangement for water cooperation [6.5.2],NaN
2017,Proportion of transboundary aquifers with an operational arrangement for water cooperation [6.5.2],NaN
2020,Proportion of transboundary aquifers with an operational arrangement for water cooperation [6.5.2],NaN
2023,Proportion of transboundary aquifers with an operational arrangement for water cooperation [6.5.2],NaN
2017,Proportion of transboundary river and lake basins with an operational arrangement for water cooperation [6.5.2],NaN
2020,Proportion of transboundary river and lake basins with an operational arrangement for water cooperation [6.5.2],NaN
2023,Proportion of transboundary river and lake basins with an operational arrangement for water cooperation [6.5.2],NaN
