Year,OBS_STATUS,NATURE,COMMENT_OBS,UPPER_BOUND,LOWER_BOUND,SDG Series,Observation status,Nature of data points,Observation-level footnotes,Upper bound value,Lower bound value,Value
2000,M,N,Value cannot exist.,NaN,NaN,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],Missing value; data cannot exist,Non-relevant,Value cannot exist.,NaN,NaN,NaN
2001,M,N,Value cannot exist.,NaN,NaN,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],Missing value; data cannot exist,Non-relevant,Value cannot exist.,NaN,NaN,NaN
2002,M,N,Value cannot exist.,NaN,NaN,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],Missing value; data cannot exist,Non-relevant,Value cannot exist.,NaN,NaN,NaN
2003,M,N,Value cannot exist.,NaN,NaN,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],Missing value; data cannot exist,Non-relevant,Value cannot exist.,NaN,NaN,NaN
2004,M,N,Value cannot exist.,NaN,NaN,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],Missing value; data cannot exist,Non-relevant,Value cannot exist.,NaN,NaN,NaN
2005,M,N,Value cannot exist.,NaN,NaN,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],Missing value; data cannot exist,Non-relevant,Value cannot exist.,NaN,NaN,NaN
2006,M,N,Value cannot exist.,NaN,NaN,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],Missing value; data cannot exist,Non-relevant,Value cannot exist.,NaN,NaN,NaN
2007,M,N,Value cannot exist.,NaN,NaN,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],Missing value; data cannot exist,Non-relevant,Value cannot exist.,NaN,NaN,NaN
2008,M,N,Value cannot exist.,NaN,NaN,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],Missing value; data cannot exist,Non-relevant,Value cannot exist.,NaN,NaN,NaN
2009,M,N,Value cannot exist.,NaN,NaN,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],Missing value; data cannot exist,Non-relevant,Value cannot exist.,NaN,NaN,NaN
2010,M,N,Value cannot exist.,NaN,NaN,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],Missing value; data cannot exist,Non-relevant,Value cannot exist.,NaN,NaN,NaN
2011,M,N,Value cannot exist.,NaN,NaN,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],Missing value; data cannot exist,Non-relevant,Value cannot exist.,NaN,NaN,NaN
2012,M,N,Value cannot exist.,NaN,NaN,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],Missing value; data cannot exist,Non-relevant,Value cannot exist.,NaN,NaN,NaN
2013,M,N,Value cannot exist.,NaN,NaN,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],Missing value; data cannot exist,Non-relevant,Value cannot exist.,NaN,NaN,NaN
2014,M,N,Value cannot exist.,NaN,NaN,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],Missing value; data cannot exist,Non-relevant,Value cannot exist.,NaN,NaN,NaN
2015,M,N,Value cannot exist.,NaN,NaN,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],Missing value; data cannot exist,Non-relevant,Value cannot exist.,NaN,NaN,NaN
2016,M,N,Value cannot exist.,NaN,NaN,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],Missing value; data cannot exist,Non-relevant,Value cannot exist.,NaN,NaN,NaN
2017,M,N,Value cannot exist.,NaN,NaN,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],Missing value; data cannot exist,Non-relevant,Value cannot exist.,NaN,NaN,NaN
2018,M,N,Value cannot exist.,NaN,NaN,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],Missing value; data cannot exist,Non-relevant,Value cannot exist.,NaN,NaN,NaN
2019,M,N,Value cannot exist.,NaN,NaN,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],Missing value; data cannot exist,Non-relevant,Value cannot exist.,NaN,NaN,NaN
2020,M,N,Value cannot exist.,NaN,NaN,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],Missing value; data cannot exist,Non-relevant,Value cannot exist.,NaN,NaN,NaN
2021,M,N,Value cannot exist.,NaN,NaN,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],Missing value; data cannot exist,Non-relevant,Value cannot exist.,NaN,NaN,NaN
2022,M,N,Value cannot exist.,NaN,NaN,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],Missing value; data cannot exist,Non-relevant,Value cannot exist.,NaN,NaN,NaN
2023,M,N,Value cannot exist.,NaN,NaN,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],Missing value; data cannot exist,Non-relevant,Value cannot exist.,NaN,NaN,NaN
