Year,OBS_STATUS,NATURE,COMMENT_OBS,UPPER_BOUND,LOWER_BOUND,SDG Series,Observation status,Nature of data points,Observation-level footnotes,Upper bound value,Lower bound value,Value
2000,A,C,,37.759509999999999,22.172090000000001,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],Normal value,Country Data,,43.377499999999998,43.377499999999998,29.484760000000001
2001,A,C,,37.759509999999999,22.172090000000001,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],Normal value,Country Data,,43.377499999999998,43.377499999999998,29.484760000000001
2002,A,C,,37.759509999999999,22.172090000000001,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],Normal value,Country Data,,43.377499999999998,43.377499999999998,29.484760000000001
2003,A,C,,43.369019999999999,34.71725,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],Normal value,Country Data,,43.377499999999998,43.377499999999998,42.703850000000003
2004,A,C,,43.369019999999999,34.71725,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],Normal value,Country Data,,43.377499999999998,43.377499999999998,42.703850000000003
2005,A,C,,43.369019999999999,34.71725,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],Normal value,Country Data,,43.377499999999998,43.377499999999998,42.703850000000003
2006,A,C,,43.369019999999999,34.71725,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],Normal value,Country Data,,43.377499999999998,43.377499999999998,42.703850000000003
2007,A,C,,43.369019999999999,34.71725,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],Normal value,Country Data,,43.377499999999998,43.377499999999998,42.703850000000003
2008,A,C,,43.369019999999999,34.71725,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],Normal value,Country Data,,43.377499999999998,43.377499999999998,42.703850000000003
2009,A,C,,43.369019999999999,34.71725,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],Normal value,Country Data,,43.377499999999998,43.377499999999998,42.703850000000003
2010,A,C,,43.369019999999999,34.71725,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],Normal value,Country Data,,43.377499999999998,43.377499999999998,42.703850000000003
2011,A,C,,43.377499999999998,43.377499999999998,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],Normal value,Country Data,,43.377499999999998,43.377499999999998,43.377499999999998
2012,A,C,,43.377499999999998,43.377499999999998,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],Normal value,Country Data,,43.377499999999998,43.377499999999998,43.377499999999998
2013,A,C,,43.377499999999998,43.377499999999998,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],Normal value,Country Data,,43.377499999999998,43.377499999999998,43.377499999999998
2014,A,C,,43.377499999999998,43.377499999999998,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],Normal value,Country Data,,43.377499999999998,43.377499999999998,43.377499999999998
2015,A,C,,43.377499999999998,43.377499999999998,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],Normal value,Country Data,,43.377499999999998,43.377499999999998,43.377499999999998
2016,A,C,,43.377499999999998,43.377499999999998,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],Normal value,Country Data,,43.377499999999998,43.377499999999998,43.377499999999998
2017,A,C,,43.377499999999998,43.377499999999998,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],Normal value,Country Data,,43.377499999999998,43.377499999999998,43.377499999999998
2018,A,C,,43.377499999999998,43.377499999999998,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],Normal value,Country Data,,43.377499999999998,43.377499999999998,43.377499999999998
2019,A,C,,43.377499999999998,43.377499999999998,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],Normal value,Country Data,,43.377499999999998,43.377499999999998,43.377499999999998
2020,A,C,,43.377499999999998,43.377499999999998,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],Normal value,Country Data,,43.377499999999998,43.377499999999998,43.377499999999998
2021,A,C,,43.377499999999998,43.377499999999998,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],Normal value,Country Data,,43.377499999999998,43.377499999999998,43.377499999999998
2022,A,C,,43.377499999999998,43.377499999999998,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],Normal value,Country Data,,43.377499999999998,43.377499999999998,43.377499999999998
2023,A,C,,43.377499999999998,43.377499999999998,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],Normal value,Country Data,,43.377499999999998,43.377499999999998,43.377499999999998
