Year,OBS_STATUS,NATURE,COMMENT_OBS,SOURCE_DETAIL,SDG Series,Custom Breakdown,Composite breakdown,Unit of measure,Observation status,Nature of data points,Observation-level footnotes,Source details,Label for custom breakdown,Value
2010,M,_X,NaN = Not relevant,NA,Mountain green cover area (square kilometres) [15.4.2],,Land Cover: Croplands,Square kilometers,Missing value; data cannot exist,Not Available,NaN = Not relevant,NA,,NaN
2015,M,_X,NaN = Not relevant,NA,Mountain green cover area (square kilometres) [15.4.2],,Land Cover: Croplands,Square kilometers,Missing value; data cannot exist,Not Available,NaN = Not relevant,NA,,NaN
2018,M,_X,NaN = Not relevant,NA,Mountain green cover area (square kilometres) [15.4.2],,Land Cover: Croplands,Square kilometers,Missing value; data cannot exist,Not Available,NaN = Not relevant,NA,,NaN
2000,M,_X,NaN = Not relevant,NA,Mountain green cover area (square kilometres) [15.4.2],,Land Cover: Grassland,Square kilometers,Missing value; data cannot exist,Not Available,NaN = Not relevant,NA,,NaN
2005,M,_X,NaN = Not relevant,NA,Mountain green cover area (square kilometres) [15.4.2],,Land Cover: Grassland,Square kilometers,Missing value; data cannot exist,Not Available,NaN = Not relevant,NA,,NaN
2010,M,_X,NaN = Not relevant,NA,Mountain green cover area (square kilometres) [15.4.2],,Land Cover: Grassland,Square kilometers,Missing value; data cannot exist,Not Available,NaN = Not relevant,NA,,NaN
2015,M,_X,NaN = Not relevant,NA,Mountain green cover area (square kilometres) [15.4.2],,Land Cover: Grassland,Square kilometers,Missing value; data cannot exist,Not Available,NaN = Not relevant,NA,,NaN
2018,M,_X,NaN = Not relevant,NA,Mountain green cover area (square kilometres) [15.4.2],,Land Cover: Grassland,Square kilometers,Missing value; data cannot exist,Not Available,NaN = Not relevant,NA,,NaN
2000,M,_X,NaN = Not relevant,NA,Mountain green cover area (square kilometres) [15.4.2],,Land Cover: Inland water bodies,Square kilometers,Missing value; data cannot exist,Not Available,NaN = Not relevant,NA,,NaN
2005,M,_X,NaN = Not relevant,NA,Mountain green cover area (square kilometres) [15.4.2],,Land Cover: Inland water bodies,Square kilometers,Missing value; data cannot exist,Not Available,NaN = Not relevant,NA,,NaN
2010,M,_X,NaN = Not relevant,NA,Mountain green cover area (square kilometres) [15.4.2],,Land Cover: Inland water bodies,Square kilometers,Missing value; data cannot exist,Not Available,NaN = Not relevant,NA,,NaN
2015,M,_X,NaN = Not relevant,NA,Mountain green cover area (square kilometres) [15.4.2],,Land Cover: Inland water bodies,Square kilometers,Missing value; data cannot exist,Not Available,NaN = Not relevant,NA,,NaN
2018,M,_X,NaN = Not relevant,NA,Mountain green cover area (square kilometres) [15.4.2],,Land Cover: Inland water bodies,Square kilometers,Missing value; data cannot exist,Not Available,NaN = Not relevant,NA,,NaN
2000,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain green cover area (square kilometres) [15.4.2],,Land Cover: MGCI,Square kilometers,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,1.62
2005,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain green cover area (square kilometres) [15.4.2],,Land Cover: MGCI,Square kilometers,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,1.62
2010,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain green cover area (square kilometres) [15.4.2],,Land Cover: MGCI,Square kilometers,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,1.62
2015,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain green cover area (square kilometres) [15.4.2],,Land Cover: MGCI,Square kilometers,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,1.62
2018,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain green cover area (square kilometres) [15.4.2],,Land Cover: MGCI,Square kilometers,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,1.62
2000,M,_X,NaN = Not relevant,NA,Mountain green cover area (square kilometres) [15.4.2],,Land Cover: Permanent snow and glaciers,Square kilometers,Missing value; data cannot exist,Not Available,NaN = Not relevant,NA,,NaN
2005,M,_X,NaN = Not relevant,NA,Mountain green cover area (square kilometres) [15.4.2],,Land Cover: Permanent snow and glaciers,Square kilometers,Missing value; data cannot exist,Not Available,NaN = Not relevant,NA,,NaN
2010,M,_X,NaN = Not relevant,NA,Mountain green cover area (square kilometres) [15.4.2],,Land Cover: Permanent snow and glaciers,Square kilometers,Missing value; data cannot exist,Not Available,NaN = Not relevant,NA,,NaN
2015,M,_X,NaN = Not relevant,NA,Mountain green cover area (square kilometres) [15.4.2],,Land Cover: Permanent snow and glaciers,Square kilometers,Missing value; data cannot exist,Not Available,NaN = Not relevant,NA,,NaN
2018,M,_X,NaN = Not relevant,NA,Mountain green cover area (square kilometres) [15.4.2],,Land Cover: Permanent snow and glaciers,Square kilometers,Missing value; data cannot exist,Not Available,NaN = Not relevant,NA,,NaN
2000,M,_X,NaN = Not relevant,NA,Mountain green cover area (square kilometres) [15.4.2],,"Land Cover: Shrubs and/or herbaceous vegetation, aquatic or regularly flooded",Square kilometers,Missing value; data cannot exist,Not Available,NaN = Not relevant,NA,,NaN
2005,M,_X,NaN = Not relevant,NA,Mountain green cover area (square kilometres) [15.4.2],,"Land Cover: Shrubs and/or herbaceous vegetation, aquatic or regularly flooded",Square kilometers,Missing value; data cannot exist,Not Available,NaN = Not relevant,NA,,NaN
2010,M,_X,NaN = Not relevant,NA,Mountain green cover area (square kilometres) [15.4.2],,"Land Cover: Shrubs and/or herbaceous vegetation, aquatic or regularly flooded",Square kilometers,Missing value; data cannot exist,Not Available,NaN = Not relevant,NA,,NaN
2015,M,_X,NaN = Not relevant,NA,Mountain green cover area (square kilometres) [15.4.2],,"Land Cover: Shrubs and/or herbaceous vegetation, aquatic or regularly flooded",Square kilometers,Missing value; data cannot exist,Not Available,NaN = Not relevant,NA,,NaN
2018,M,_X,NaN = Not relevant,NA,Mountain green cover area (square kilometres) [15.4.2],,"Land Cover: Shrubs and/or herbaceous vegetation, aquatic or regularly flooded",Square kilometers,Missing value; data cannot exist,Not Available,NaN = Not relevant,NA,,NaN
2000,M,_X,NaN = Not relevant,NA,Mountain green cover area (square kilometres) [15.4.2],,Land Cover: Shrub-covered areas,Square kilometers,Missing value; data cannot exist,Not Available,NaN = Not relevant,NA,,NaN
2005,M,_X,NaN = Not relevant,NA,Mountain green cover area (square kilometres) [15.4.2],,Land Cover: Shrub-covered areas,Square kilometers,Missing value; data cannot exist,Not Available,NaN = Not relevant,NA,,NaN
2010,M,_X,NaN = Not relevant,NA,Mountain green cover area (square kilometres) [15.4.2],,Land Cover: Shrub-covered areas,Square kilometers,Missing value; data cannot exist,Not Available,NaN = Not relevant,NA,,NaN
2015,M,_X,NaN = Not relevant,NA,Mountain green cover area (square kilometres) [15.4.2],,Land Cover: Shrub-covered areas,Square kilometers,Missing value; data cannot exist,Not Available,NaN = Not relevant,NA,,NaN
2018,M,_X,NaN = Not relevant,NA,Mountain green cover area (square kilometres) [15.4.2],,Land Cover: Shrub-covered areas,Square kilometers,Missing value; data cannot exist,Not Available,NaN = Not relevant,NA,,NaN
2000,M,_X,NaN = Not relevant,NA,Mountain green cover area (square kilometres) [15.4.2],,Land Cover: Sparsely natural vegetated areas,Square kilometers,Missing value; data cannot exist,Not Available,NaN = Not relevant,NA,,NaN
2005,M,_X,NaN = Not relevant,NA,Mountain green cover area (square kilometres) [15.4.2],,Land Cover: Sparsely natural vegetated areas,Square kilometers,Missing value; data cannot exist,Not Available,NaN = Not relevant,NA,,NaN
2010,M,_X,NaN = Not relevant,NA,Mountain green cover area (square kilometres) [15.4.2],,Land Cover: Sparsely natural vegetated areas,Square kilometers,Missing value; data cannot exist,Not Available,NaN = Not relevant,NA,,NaN
2015,M,_X,NaN = Not relevant,NA,Mountain green cover area (square kilometres) [15.4.2],,Land Cover: Sparsely natural vegetated areas,Square kilometers,Missing value; data cannot exist,Not Available,NaN = Not relevant,NA,,NaN
2018,M,_X,NaN = Not relevant,NA,Mountain green cover area (square kilometres) [15.4.2],,Land Cover: Sparsely natural vegetated areas,Square kilometers,Missing value; data cannot exist,Not Available,NaN = Not relevant,NA,,NaN
2000,M,_X,NaN = Not relevant,NA,Mountain green cover area (square kilometres) [15.4.2],,Land Cover: Terrestrial barren land,Square kilometers,Missing value; data cannot exist,Not Available,NaN = Not relevant,NA,,NaN
2005,M,_X,NaN = Not relevant,NA,Mountain green cover area (square kilometres) [15.4.2],,Land Cover: Terrestrial barren land,Square kilometers,Missing value; data cannot exist,Not Available,NaN = Not relevant,NA,,NaN
2010,M,_X,NaN = Not relevant,NA,Mountain green cover area (square kilometres) [15.4.2],,Land Cover: Terrestrial barren land,Square kilometers,Missing value; data cannot exist,Not Available,NaN = Not relevant,NA,,NaN
2015,M,_X,NaN = Not relevant,NA,Mountain green cover area (square kilometres) [15.4.2],,Land Cover: Terrestrial barren land,Square kilometers,Missing value; data cannot exist,Not Available,NaN = Not relevant,NA,,NaN
2018,M,_X,NaN = Not relevant,NA,Mountain green cover area (square kilometres) [15.4.2],,Land Cover: Terrestrial barren land,Square kilometers,Missing value; data cannot exist,Not Available,NaN = Not relevant,NA,,NaN
2000,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain green cover area (square kilometres) [15.4.2],,Land Cover: Tree-covered areas,Square kilometers,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,1.62
2005,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain green cover area (square kilometres) [15.4.2],,Land Cover: Tree-covered areas,Square kilometers,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,1.62
2010,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain green cover area (square kilometres) [15.4.2],,Land Cover: Tree-covered areas,Square kilometers,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,1.62
2015,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain green cover area (square kilometres) [15.4.2],,Land Cover: Tree-covered areas,Square kilometers,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,1.62
2018,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain green cover area (square kilometres) [15.4.2],,Land Cover: Tree-covered areas,Square kilometers,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,1.62
2000,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain green cover area (square kilometres) [15.4.2],Custom code 04,Land Cover: Artificial surfaces,Square kilometers,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Remaining mountain area,1.62
2005,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain green cover area (square kilometres) [15.4.2],Custom code 04,Land Cover: Artificial surfaces,Square kilometers,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Remaining mountain area,1.62
2010,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain green cover area (square kilometres) [15.4.2],Custom code 04,Land Cover: Artificial surfaces,Square kilometers,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Remaining mountain area,1.62
2015,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain green cover area (square kilometres) [15.4.2],Custom code 04,Land Cover: Artificial surfaces,Square kilometers,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Remaining mountain area,1.62
2018,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain green cover area (square kilometres) [15.4.2],Custom code 04,Land Cover: Artificial surfaces,Square kilometers,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Remaining mountain area,1.62
2000,M,_X,NaN = Not relevant,NA,Mountain green cover area (square kilometres) [15.4.2],Custom code 04,Land Cover: Croplands,Square kilometers,Missing value; data cannot exist,Not Available,NaN = Not relevant,NA,Remaining mountain area,NaN
2005,M,_X,NaN = Not relevant,NA,Mountain green cover area (square kilometres) [15.4.2],Custom code 04,Land Cover: Croplands,Square kilometers,Missing value; data cannot exist,Not Available,NaN = Not relevant,NA,Remaining mountain area,NaN
2010,M,_X,NaN = Not relevant,NA,Mountain green cover area (square kilometres) [15.4.2],Custom code 04,Land Cover: Croplands,Square kilometers,Missing value; data cannot exist,Not Available,NaN = Not relevant,NA,Remaining mountain area,NaN
2015,M,_X,NaN = Not relevant,NA,Mountain green cover area (square kilometres) [15.4.2],Custom code 04,Land Cover: Croplands,Square kilometers,Missing value; data cannot exist,Not Available,NaN = Not relevant,NA,Remaining mountain area,NaN
2018,M,_X,NaN = Not relevant,NA,Mountain green cover area (square kilometres) [15.4.2],Custom code 04,Land Cover: Croplands,Square kilometers,Missing value; data cannot exist,Not Available,NaN = Not relevant,NA,Remaining mountain area,NaN
2000,M,_X,NaN = Not relevant,NA,Mountain green cover area (square kilometres) [15.4.2],Custom code 04,Land Cover: Grassland,Square kilometers,Missing value; data cannot exist,Not Available,NaN = Not relevant,NA,Remaining mountain area,NaN
2005,M,_X,NaN = Not relevant,NA,Mountain green cover area (square kilometres) [15.4.2],Custom code 04,Land Cover: Grassland,Square kilometers,Missing value; data cannot exist,Not Available,NaN = Not relevant,NA,Remaining mountain area,NaN
2010,M,_X,NaN = Not relevant,NA,Mountain green cover area (square kilometres) [15.4.2],Custom code 04,Land Cover: Grassland,Square kilometers,Missing value; data cannot exist,Not Available,NaN = Not relevant,NA,Remaining mountain area,NaN
2015,M,_X,NaN = Not relevant,NA,Mountain green cover area (square kilometres) [15.4.2],Custom code 04,Land Cover: Grassland,Square kilometers,Missing value; data cannot exist,Not Available,NaN = Not relevant,NA,Remaining mountain area,NaN
2018,M,_X,NaN = Not relevant,NA,Mountain green cover area (square kilometres) [15.4.2],Custom code 04,Land Cover: Grassland,Square kilometers,Missing value; data cannot exist,Not Available,NaN = Not relevant,NA,Remaining mountain area,NaN
2000,M,_X,NaN = Not relevant,NA,Mountain green cover area (square kilometres) [15.4.2],Custom code 04,Land Cover: Inland water bodies,Square kilometers,Missing value; data cannot exist,Not Available,NaN = Not relevant,NA,Remaining mountain area,NaN
2005,M,_X,NaN = Not relevant,NA,Mountain green cover area (square kilometres) [15.4.2],Custom code 04,Land Cover: Inland water bodies,Square kilometers,Missing value; data cannot exist,Not Available,NaN = Not relevant,NA,Remaining mountain area,NaN
2010,M,_X,NaN = Not relevant,NA,Mountain green cover area (square kilometres) [15.4.2],Custom code 04,Land Cover: Inland water bodies,Square kilometers,Missing value; data cannot exist,Not Available,NaN = Not relevant,NA,Remaining mountain area,NaN
2015,M,_X,NaN = Not relevant,NA,Mountain green cover area (square kilometres) [15.4.2],Custom code 04,Land Cover: Inland water bodies,Square kilometers,Missing value; data cannot exist,Not Available,NaN = Not relevant,NA,Remaining mountain area,NaN
2018,M,_X,NaN = Not relevant,NA,Mountain green cover area (square kilometres) [15.4.2],Custom code 04,Land Cover: Inland water bodies,Square kilometers,Missing value; data cannot exist,Not Available,NaN = Not relevant,NA,Remaining mountain area,NaN
2000,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain green cover area (square kilometres) [15.4.2],Custom code 04,Land Cover: MGCI,Square kilometers,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Remaining mountain area,1.62
2005,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain green cover area (square kilometres) [15.4.2],Custom code 04,Land Cover: MGCI,Square kilometers,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Remaining mountain area,1.62
2010,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain green cover area (square kilometres) [15.4.2],Custom code 04,Land Cover: MGCI,Square kilometers,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Remaining mountain area,1.62
2015,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain green cover area (square kilometres) [15.4.2],Custom code 04,Land Cover: MGCI,Square kilometers,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Remaining mountain area,1.62
2018,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain green cover area (square kilometres) [15.4.2],Custom code 04,Land Cover: MGCI,Square kilometers,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Remaining mountain area,1.62
2000,M,_X,NaN = Not relevant,NA,Mountain green cover area (square kilometres) [15.4.2],Custom code 04,Land Cover: Permanent snow and glaciers,Square kilometers,Missing value; data cannot exist,Not Available,NaN = Not relevant,NA,Remaining mountain area,NaN
2005,M,_X,NaN = Not relevant,NA,Mountain green cover area (square kilometres) [15.4.2],Custom code 04,Land Cover: Permanent snow and glaciers,Square kilometers,Missing value; data cannot exist,Not Available,NaN = Not relevant,NA,Remaining mountain area,NaN
2010,M,_X,NaN = Not relevant,NA,Mountain green cover area (square kilometres) [15.4.2],Custom code 04,Land Cover: Permanent snow and glaciers,Square kilometers,Missing value; data cannot exist,Not Available,NaN = Not relevant,NA,Remaining mountain area,NaN
2015,M,_X,NaN = Not relevant,NA,Mountain green cover area (square kilometres) [15.4.2],Custom code 04,Land Cover: Permanent snow and glaciers,Square kilometers,Missing value; data cannot exist,Not Available,NaN = Not relevant,NA,Remaining mountain area,NaN
2018,M,_X,NaN = Not relevant,NA,Mountain green cover area (square kilometres) [15.4.2],Custom code 04,Land Cover: Permanent snow and glaciers,Square kilometers,Missing value; data cannot exist,Not Available,NaN = Not relevant,NA,Remaining mountain area,NaN
2000,M,_X,NaN = Not relevant,NA,Mountain green cover area (square kilometres) [15.4.2],Custom code 04,"Land Cover: Shrubs and/or herbaceous vegetation, aquatic or regularly flooded",Square kilometers,Missing value; data cannot exist,Not Available,NaN = Not relevant,NA,Remaining mountain area,NaN
2005,M,_X,NaN = Not relevant,NA,Mountain green cover area (square kilometres) [15.4.2],Custom code 04,"Land Cover: Shrubs and/or herbaceous vegetation, aquatic or regularly flooded",Square kilometers,Missing value; data cannot exist,Not Available,NaN = Not relevant,NA,Remaining mountain area,NaN
2010,M,_X,NaN = Not relevant,NA,Mountain green cover area (square kilometres) [15.4.2],Custom code 04,"Land Cover: Shrubs and/or herbaceous vegetation, aquatic or regularly flooded",Square kilometers,Missing value; data cannot exist,Not Available,NaN = Not relevant,NA,Remaining mountain area,NaN
2015,M,_X,NaN = Not relevant,NA,Mountain green cover area (square kilometres) [15.4.2],Custom code 04,"Land Cover: Shrubs and/or herbaceous vegetation, aquatic or regularly flooded",Square kilometers,Missing value; data cannot exist,Not Available,NaN = Not relevant,NA,Remaining mountain area,NaN
2018,M,_X,NaN = Not relevant,NA,Mountain green cover area (square kilometres) [15.4.2],Custom code 04,"Land Cover: Shrubs and/or herbaceous vegetation, aquatic or regularly flooded",Square kilometers,Missing value; data cannot exist,Not Available,NaN = Not relevant,NA,Remaining mountain area,NaN
2000,M,_X,NaN = Not relevant,NA,Mountain green cover area (square kilometres) [15.4.2],Custom code 04,Land Cover: Shrub-covered areas,Square kilometers,Missing value; data cannot exist,Not Available,NaN = Not relevant,NA,Remaining mountain area,NaN
2005,M,_X,NaN = Not relevant,NA,Mountain green cover area (square kilometres) [15.4.2],Custom code 04,Land Cover: Shrub-covered areas,Square kilometers,Missing value; data cannot exist,Not Available,NaN = Not relevant,NA,Remaining mountain area,NaN
2010,M,_X,NaN = Not relevant,NA,Mountain green cover area (square kilometres) [15.4.2],Custom code 04,Land Cover: Shrub-covered areas,Square kilometers,Missing value; data cannot exist,Not Available,NaN = Not relevant,NA,Remaining mountain area,NaN
2015,M,_X,NaN = Not relevant,NA,Mountain green cover area (square kilometres) [15.4.2],Custom code 04,Land Cover: Shrub-covered areas,Square kilometers,Missing value; data cannot exist,Not Available,NaN = Not relevant,NA,Remaining mountain area,NaN
2018,M,_X,NaN = Not relevant,NA,Mountain green cover area (square kilometres) [15.4.2],Custom code 04,Land Cover: Shrub-covered areas,Square kilometers,Missing value; data cannot exist,Not Available,NaN = Not relevant,NA,Remaining mountain area,NaN
2000,M,_X,NaN = Not relevant,NA,Mountain green cover area (square kilometres) [15.4.2],Custom code 04,Land Cover: Sparsely natural vegetated areas,Square kilometers,Missing value; data cannot exist,Not Available,NaN = Not relevant,NA,Remaining mountain area,NaN
2005,M,_X,NaN = Not relevant,NA,Mountain green cover area (square kilometres) [15.4.2],Custom code 04,Land Cover: Sparsely natural vegetated areas,Square kilometers,Missing value; data cannot exist,Not Available,NaN = Not relevant,NA,Remaining mountain area,NaN
2010,M,_X,NaN = Not relevant,NA,Mountain green cover area (square kilometres) [15.4.2],Custom code 04,Land Cover: Sparsely natural vegetated areas,Square kilometers,Missing value; data cannot exist,Not Available,NaN = Not relevant,NA,Remaining mountain area,NaN
2015,M,_X,NaN = Not relevant,NA,Mountain green cover area (square kilometres) [15.4.2],Custom code 04,Land Cover: Sparsely natural vegetated areas,Square kilometers,Missing value; data cannot exist,Not Available,NaN = Not relevant,NA,Remaining mountain area,NaN
2018,M,_X,NaN = Not relevant,NA,Mountain green cover area (square kilometres) [15.4.2],Custom code 04,Land Cover: Sparsely natural vegetated areas,Square kilometers,Missing value; data cannot exist,Not Available,NaN = Not relevant,NA,Remaining mountain area,NaN
2000,M,_X,NaN = Not relevant,NA,Mountain green cover area (square kilometres) [15.4.2],Custom code 04,Land Cover: Terrestrial barren land,Square kilometers,Missing value; data cannot exist,Not Available,NaN = Not relevant,NA,Remaining mountain area,NaN
2005,M,_X,NaN = Not relevant,NA,Mountain green cover area (square kilometres) [15.4.2],Custom code 04,Land Cover: Terrestrial barren land,Square kilometers,Missing value; data cannot exist,Not Available,NaN = Not relevant,NA,Remaining mountain area,NaN
2010,M,_X,NaN = Not relevant,NA,Mountain green cover area (square kilometres) [15.4.2],Custom code 04,Land Cover: Terrestrial barren land,Square kilometers,Missing value; data cannot exist,Not Available,NaN = Not relevant,NA,Remaining mountain area,NaN
2015,M,_X,NaN = Not relevant,NA,Mountain green cover area (square kilometres) [15.4.2],Custom code 04,Land Cover: Terrestrial barren land,Square kilometers,Missing value; data cannot exist,Not Available,NaN = Not relevant,NA,Remaining mountain area,NaN
2018,M,_X,NaN = Not relevant,NA,Mountain green cover area (square kilometres) [15.4.2],Custom code 04,Land Cover: Terrestrial barren land,Square kilometers,Missing value; data cannot exist,Not Available,NaN = Not relevant,NA,Remaining mountain area,NaN
2000,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain green cover area (square kilometres) [15.4.2],Custom code 04,Land Cover: Tree-covered areas,Square kilometers,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Remaining mountain area,1.62
2005,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain green cover area (square kilometres) [15.4.2],Custom code 04,Land Cover: Tree-covered areas,Square kilometers,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Remaining mountain area,1.62
2010,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain green cover area (square kilometres) [15.4.2],Custom code 04,Land Cover: Tree-covered areas,Square kilometers,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Remaining mountain area,1.62
2015,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain green cover area (square kilometres) [15.4.2],Custom code 04,Land Cover: Tree-covered areas,Square kilometers,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Remaining mountain area,1.62
2018,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain green cover area (square kilometres) [15.4.2],Custom code 04,Land Cover: Tree-covered areas,Square kilometers,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Remaining mountain area,1.62
