Year,OBS_STATUS,NATURE,COMMENT_OBS,SOURCE_DETAIL,SDG Series,Custom Breakdown,Composite breakdown,Unit of measure,Observation status,Nature of data points,Observation-level footnotes,Source details,Label for custom breakdown,Value
2015,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Area of degraded mountain land (square kilometres) [15.4.2],,,Square kilometers,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,0
2018,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Area of degraded mountain land (square kilometres) [15.4.2],,,Square kilometers,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,0
2015,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Area of degraded mountain land (square kilometres) [15.4.2],Custom code 04,,Square kilometers,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Remaining mountain area,0
2018,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Area of degraded mountain land (square kilometres) [15.4.2],Custom code 04,,Square kilometers,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Remaining mountain area,0
2015,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Proportion of degraded mountain land (%) [15.4.2],,,Percent,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,0
2018,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Proportion of degraded mountain land (%) [15.4.2],,,Percent,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,0
2015,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Proportion of degraded mountain land (%) [15.4.2],Custom code 04,,Percent,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Remaining mountain area,0
2018,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Proportion of degraded mountain land (%) [15.4.2],Custom code 04,,Percent,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Remaining mountain area,0
2000,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain green cover area (square kilometres) [15.4.2],,Land Cover: Artificial surfaces,Square kilometers,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,1.62
2005,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain green cover area (square kilometres) [15.4.2],,Land Cover: Artificial surfaces,Square kilometers,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,1.62
2010,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain green cover area (square kilometres) [15.4.2],,Land Cover: Artificial surfaces,Square kilometers,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,1.62
2015,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain green cover area (square kilometres) [15.4.2],,Land Cover: Artificial surfaces,Square kilometers,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,1.62
2018,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain green cover area (square kilometres) [15.4.2],,Land Cover: Artificial surfaces,Square kilometers,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,1.62
2000,M,_X,NaN = Not relevant,NA,Mountain green cover area (square kilometres) [15.4.2],,Land Cover: Croplands,Square kilometers,Missing value; data cannot exist,Not Available,NaN = Not relevant,NA,,NaN
2005,M,_X,NaN = Not relevant,NA,Mountain green cover area (square kilometres) [15.4.2],,Land Cover: Croplands,Square kilometers,Missing value; data cannot exist,Not Available,NaN = Not relevant,NA,,NaN
