Year,NATURE,SOURCE_DETAIL,Value
2000,C,Virgin Islands Telephone Corporation (Vitelco).,13.82
2001,C,Virgin Islands Telephone Corporation (Vitelco).,18.38
2002,C,Virgin Islands Telephone Corporation (Vitelco).,27.49
2003,E,ITU estimate.,27.43
2004,E,ITU estimate.,27.38
2005,E,ITU estimate.,27.34
2006,E,ITU estimate.,27.33
2007,C,Virgin Islands Telephone Corporation (Vitelco).,27.34
2008,E,ITU estimate.,27.36
2009,E,ITU estimate.,27.4
2010,E,ITU estimate.,31.22
2011,E,ITU estimate.,35.6
2012,E,ITU estimate.,40.55
2013,E,ITU estimate.,45.3
2014,E,ITU estimate.,50.07
2015,E,ITU estimate.,54.84
2016,E,ITU Estimate.,59.61
2017,E,ITU estimate.,64.38
