Year,NATURE,SOURCE_DETAIL,SDG Series,Unit of measure,Source details,Value
2004,E,"Data based on the World Telecommunication/ICT Indicators Database, 2023, International Telecommunication Union (ITU)",Fixed broadband subscriptions per 100 inhabitants [17.6.1],Per 100 population,"Data based on the World Telecommunication/ICT Indicators Database, 2023, International Telecommunication Union (ITU)",1.39026
2005,E,"Data based on the World Telecommunication/ICT Indicators Database, 2023, International Telecommunication Union (ITU)",Fixed broadband subscriptions per 100 inhabitants [17.6.1],Per 100 population,"Data based on the World Telecommunication/ICT Indicators Database, 2023, International Telecommunication Union (ITU)",2.78641
2007,E,"Data based on the World Telecommunication/ICT Indicators Database, 2023, International Telecommunication Union (ITU)",Fixed broadband subscriptions per 100 inhabitants [17.6.1],Per 100 population,"Data based on the World Telecommunication/ICT Indicators Database, 2023, International Telecommunication Union (ITU)",5.57058
2008,E,"Data based on the World Telecommunication/ICT Indicators Database, 2023, International Telecommunication Union (ITU)",Fixed broadband subscriptions per 100 inhabitants [17.6.1],Per 100 population,"Data based on the World Telecommunication/ICT Indicators Database, 2023, International Telecommunication Union (ITU)",6.96456
2009,E,"Data based on the World Telecommunication/ICT Indicators Database, 2023, International Telecommunication Union (ITU)",Fixed broadband subscriptions per 100 inhabitants [17.6.1],Per 100 population,"Data based on the World Telecommunication/ICT Indicators Database, 2023, International Telecommunication Union (ITU)",8.45332
2010,E,"Data based on the World Telecommunication/ICT Indicators Database, 2023, International Telecommunication Union (ITU)",Fixed broadband subscriptions per 100 inhabitants [17.6.1],Per 100 population,"Data based on the World Telecommunication/ICT Indicators Database, 2023, International Telecommunication Union (ITU)",8.57342
2013,E,"Data based on the World Telecommunication/ICT Indicators Database, 2023, International Telecommunication Union (ITU)",Fixed broadband subscriptions per 100 inhabitants [17.6.1],Per 100 population,"Data based on the World Telecommunication/ICT Indicators Database, 2023, International Telecommunication Union (ITU)",8.74512
2014,E,"Data based on the World Telecommunication/ICT Indicators Database, 2023, International Telecommunication Union (ITU)",Fixed broadband subscriptions per 100 inhabitants [17.6.1],Per 100 population,"Data based on the World Telecommunication/ICT Indicators Database, 2023, International Telecommunication Union (ITU)",8.80222
2015,E,"Data based on the World Telecommunication/ICT Indicators Database, 2023, International Telecommunication Union (ITU)",Fixed broadband subscriptions per 100 inhabitants [17.6.1],Per 100 population,"Data based on the World Telecommunication/ICT Indicators Database, 2023, International Telecommunication Union (ITU)",8.75452
2022,E,"Data based on the World Telecommunication/ICT Indicators Database, 2023, International Telecommunication Union (ITU)",Fixed broadband subscriptions per 100 inhabitants [17.6.1],Per 100 population,"Data based on the World Telecommunication/ICT Indicators Database, 2023, International Telecommunication Union (ITU)",8.75484
2004,E,ITU estimate.,Fixed broadband subscriptions (number) [17.6.1],Number,ITU estimate.,1484.0
2005,C,Virgin Islands Telephone Corporation (Vitelco).,Fixed broadband subscriptions (number) [17.6.1],Number,ITU estimate.,2967.0
2007,E,ITU estimate. ,Fixed broadband subscriptions (number) [17.6.1],Number,ITU estimate.,5933.0
2008,E,ITU estimate. ,Fixed broadband subscriptions (number) [17.6.1],Number,ITU estimate.,7416.0
2009,E,ITU estimate.,Fixed broadband subscriptions (number) [17.6.1],Number,ITU estimate.,9000.0
2010,E,ITU estimate.,Fixed broadband subscriptions (number) [17.6.1],Number,ITU estimate.,9100.0
2013,E,ITU estimate.,Fixed broadband subscriptions (number) [17.6.1],Number,ITU estimate.,9100.0
2014,E,ITU estimate.,Fixed broadband subscriptions (number) [17.6.1],Number,ITU estimate.,9100.0
2015,E,ITU estimate.,Fixed broadband subscriptions (number) [17.6.1],Number,ITU estimate.,9000.0
