Year,SDG Series,Value
2000,Number of local breeds (not extinct) [2.5.2],1
2001,Number of local breeds (not extinct) [2.5.2],1
2002,Number of local breeds (not extinct) [2.5.2],1
2003,Number of local breeds (not extinct) [2.5.2],1
2004,Number of local breeds (not extinct) [2.5.2],1
2005,Number of local breeds (not extinct) [2.5.2],1
2006,Number of local breeds (not extinct) [2.5.2],1
2007,Number of local breeds (not extinct) [2.5.2],1
2008,Number of local breeds (not extinct) [2.5.2],1
2009,Number of local breeds (not extinct) [2.5.2],1
2010,Number of local breeds (not extinct) [2.5.2],1
2011,Number of local breeds (not extinct) [2.5.2],1
2012,Number of local breeds (not extinct) [2.5.2],1
2013,Number of local breeds (not extinct) [2.5.2],1
2014,Number of local breeds (not extinct) [2.5.2],1
2015,Number of local breeds (not extinct) [2.5.2],1
2016,Number of local breeds (not extinct) [2.5.2],1
2017,Number of local breeds (not extinct) [2.5.2],1
2018,Number of local breeds (not extinct) [2.5.2],1
2019,Number of local breeds (not extinct) [2.5.2],1
2020,Number of local breeds (not extinct) [2.5.2],1
2021,Number of local breeds (not extinct) [2.5.2],1
2022,Number of local breeds (not extinct) [2.5.2],1
2023,Number of local breeds (not extinct) [2.5.2],1
2024,Number of local breeds (not extinct) [2.5.2],1
2000,Number of local breeds with unknown risk status [2.5.2],1
2001,Number of local breeds with unknown risk status [2.5.2],1
2002,Number of local breeds with unknown risk status [2.5.2],1
2003,Number of local breeds with unknown risk status [2.5.2],1
2004,Number of local breeds with unknown risk status [2.5.2],1
2005,Number of local breeds with unknown risk status [2.5.2],1
2006,Number of local breeds with unknown risk status [2.5.2],1
2007,Number of local breeds with unknown risk status [2.5.2],1
2008,Number of local breeds with unknown risk status [2.5.2],1
2009,Number of local breeds with unknown risk status [2.5.2],1
2010,Number of local breeds with unknown risk status [2.5.2],1
2011,Number of local breeds with unknown risk status [2.5.2],1
2012,Number of local breeds with unknown risk status [2.5.2],1
2013,Number of local breeds with unknown risk status [2.5.2],1
2014,Number of local breeds with unknown risk status [2.5.2],1
2015,Number of local breeds with unknown risk status [2.5.2],1
2016,Number of local breeds with unknown risk status [2.5.2],1
2017,Number of local breeds with unknown risk status [2.5.2],1
2018,Number of local breeds with unknown risk status [2.5.2],1
2019,Number of local breeds with unknown risk status [2.5.2],1
2020,Number of local breeds with unknown risk status [2.5.2],1
2021,Number of local breeds with unknown risk status [2.5.2],1
2022,Number of local breeds with unknown risk status [2.5.2],1
2023,Number of local breeds with unknown risk status [2.5.2],1
2024,Number of local breeds with unknown risk status [2.5.2],1
