Year,SOURCE_DETAIL,SDG Series,Unit of measure,Source details,Value
2019,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of households and NPISHs final consumption expenditure [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",6.08803
2020,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of households and NPISHs final consumption expenditure [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",-4.65297
2021,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of households and NPISHs final consumption expenditure [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",0.65067
2003,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of exports of goods and services (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",16.59601
2004,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of exports of goods and services (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",6.5101
2005,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of exports of goods and services (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",0.79804
2006,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of exports of goods and services (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",-5.18969
2007,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of exports of goods and services (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",0.36685
2008,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of exports of goods and services (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",1.46203
2009,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of exports of goods and services (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",-9.95876
2010,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of exports of goods and services (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",-4.0956
2011,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of exports of goods and services (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",-16.72522
2012,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of exports of goods and services (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",-78.39299
2013,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of exports of goods and services (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",-16.38194
2014,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of exports of goods and services (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",17.76724
2015,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of exports of goods and services (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",-36.09046
2016,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of exports of goods and services (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",20.45565
2017,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of exports of goods and services (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",26.07646
2018,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of exports of goods and services (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",-20.36387
2019,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of exports of goods and services (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",11.62325
2020,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of exports of goods and services (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",-17.70197
2021,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of exports of goods and services (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",94.98255
2003,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of imports of goods and services (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",16.93217
2004,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of imports of goods and services (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",7.41845
2005,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of imports of goods and services (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",1.54075
2006,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of imports of goods and services (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",-5.44496
2007,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of imports of goods and services (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",-5.82559
2008,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of imports of goods and services (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",5.40792
2009,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of imports of goods and services (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",-7.10053
2010,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of imports of goods and services (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",-7.77753
2011,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of imports of goods and services (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",-13.0506
2012,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of imports of goods and services (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",-78.02666
2013,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of imports of goods and services (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",-10.1302
2014,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of imports of goods and services (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",10.74205
2015,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of imports of goods and services (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",-39.27888
2016,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of imports of goods and services (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",67.73516
2017,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of imports of goods and services (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",27.00501
2018,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of imports of goods and services (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",3.18204
2019,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of imports of goods and services (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",0.86063
2020,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of imports of goods and services (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",-11.18749
2021,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of imports of goods and services (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",-0.98746
2003,"World Bank national accounts data, and OECD National Accounts data files.",Annual GDP growth (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",-0.39608
2004,"World Bank national accounts data, and OECD National Accounts data files.",Annual GDP growth (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",3.28589
2005,"World Bank national accounts data, and OECD National Accounts data files.",Annual GDP growth (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",3.48531
2006,"World Bank national accounts data, and OECD National Accounts data files.",Annual GDP growth (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",3.50499
2007,"World Bank national accounts data, and OECD National Accounts data files.",Annual GDP growth (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",4.01059
2008,"World Bank national accounts data, and OECD National Accounts data files.",Annual GDP growth (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",1.21862
2009,"World Bank national accounts data, and OECD National Accounts data files.",Annual GDP growth (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",-6.59479
2010,"World Bank national accounts data, and OECD National Accounts data files.",Annual GDP growth (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",0.59638
2011,"World Bank national accounts data, and OECD National Accounts data files.",Annual GDP growth (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",-8.20425
2012,"World Bank national accounts data, and OECD National Accounts data files.",Annual GDP growth (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",-14.8125
2013,"World Bank national accounts data, and OECD National Accounts data files.",Annual GDP growth (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",-6.28516
2014,"World Bank national accounts data, and OECD National Accounts data files.",Annual GDP growth (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",-1.77453
2015,"World Bank national accounts data, and OECD National Accounts data files.",Annual GDP growth (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",-0.42508
2016,"World Bank national accounts data, and OECD National Accounts data files.",Annual GDP growth (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",1.60085
2017,"World Bank national accounts data, and OECD National Accounts data files.",Annual GDP growth (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",-0.73529
2018,"World Bank national accounts data, and OECD National Accounts data files.",Annual GDP growth (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",1.90476
2019,"World Bank national accounts data, and OECD National Accounts data files.",Annual GDP growth (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",2.93354
2020,"World Bank national accounts data, and OECD National Accounts data files.",Annual GDP growth (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",-1.91677
2021,"World Bank national accounts data, and OECD National Accounts data files.",Annual GDP growth (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",2.8542
2000,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",DEC alternative conversion factor (in local currency unit per United States dollar) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",1.0
2001,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",DEC alternative conversion factor (in local currency unit per United States dollar) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",1.0
2002,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",DEC alternative conversion factor (in local currency unit per United States dollar) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",1.0
2003,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",DEC alternative conversion factor (in local currency unit per United States dollar) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",1.0
2004,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",DEC alternative conversion factor (in local currency unit per United States dollar) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",1.0
2005,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",DEC alternative conversion factor (in local currency unit per United States dollar) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",1.0
2006,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",DEC alternative conversion factor (in local currency unit per United States dollar) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",1.0
2007,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",DEC alternative conversion factor (in local currency unit per United States dollar) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",1.0
2008,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",DEC alternative conversion factor (in local currency unit per United States dollar) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",1.0
2009,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",DEC alternative conversion factor (in local currency unit per United States dollar) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",1.0
2010,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",DEC alternative conversion factor (in local currency unit per United States dollar) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",1.0
2011,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",DEC alternative conversion factor (in local currency unit per United States dollar) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",1.0
2012,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",DEC alternative conversion factor (in local currency unit per United States dollar) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",1.0
2013,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",DEC alternative conversion factor (in local currency unit per United States dollar) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",1.0
2014,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",DEC alternative conversion factor (in local currency unit per United States dollar) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",1.0
2015,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",DEC alternative conversion factor (in local currency unit per United States dollar) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",1.0
2016,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",DEC alternative conversion factor (in local currency unit per United States dollar) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",1.0
2017,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",DEC alternative conversion factor (in local currency unit per United States dollar) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",1.0
2018,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",DEC alternative conversion factor (in local currency unit per United States dollar) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",1.0
2019,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",DEC alternative conversion factor (in local currency unit per United States dollar) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",1.0
2020,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",DEC alternative conversion factor (in local currency unit per United States dollar) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",1.0
2021,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",DEC alternative conversion factor (in local currency unit per United States dollar) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",1.0
2022,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",DEC alternative conversion factor (in local currency unit per United States dollar) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",1.0
