Year,SOURCE_DETAIL,SDG Series,Unit of measure,Source details,Value
2003,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of the general government final consumption expenditure (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",-10.78717
2004,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of the general government final consumption expenditure (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",2.17865
2005,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of the general government final consumption expenditure (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",0.31983
2006,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of the general government final consumption expenditure (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",4.78215
2007,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of the general government final consumption expenditure (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",9.02637
2008,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of the general government final consumption expenditure (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",1.02326
2009,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of the general government final consumption expenditure (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",5.06446
2010,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of the general government final consumption expenditure (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",5.08326
2011,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of the general government final consumption expenditure (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",-5.8382
2012,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of the general government final consumption expenditure (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",-9.12312
2013,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of the general government final consumption expenditure (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",-1.46199
2014,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of the general government final consumption expenditure (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",-2.76954
2015,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of the general government final consumption expenditure (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",-2.13632
2016,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of the general government final consumption expenditure (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",-0.6237
2017,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of the general government final consumption expenditure (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",12.86611
2018,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of the general government final consumption expenditure (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",33.4569
2019,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of the general government final consumption expenditure (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",-13.68056
2020,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of the general government final consumption expenditure (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",-6.51649
2021,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of the general government final consumption expenditure (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",-1.20482
2003,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of households and NPISHs final consumption expenditure [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",2.48366
2004,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of households and NPISHs final consumption expenditure [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",4.37925
2005,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of households and NPISHs final consumption expenditure [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",7.78004
2006,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of households and NPISHs final consumption expenditure [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",6.08466
2007,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of households and NPISHs final consumption expenditure [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",-5.23691
2008,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of households and NPISHs final consumption expenditure [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",-4.32331
2009,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of households and NPISHs final consumption expenditure [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",2.39686
2010,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of households and NPISHs final consumption expenditure [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",1.18956
2011,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of households and NPISHs final consumption expenditure [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",-0.8722
2012,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of households and NPISHs final consumption expenditure [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",-3.28998
2013,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of households and NPISHs final consumption expenditure [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",-2.92722
2014,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of households and NPISHs final consumption expenditure [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",-1.10024
2015,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of households and NPISHs final consumption expenditure [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",2.14256
2016,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of households and NPISHs final consumption expenditure [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",-0.28237
2017,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of households and NPISHs final consumption expenditure [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",-2.22492
2018,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of households and NPISHs final consumption expenditure [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",0.57923
